Estado;Município;Total domicílios;Total com água canalizada;Água em pelo menos um cômodo;Rede geral de distribuição;Outra forma;Água no terreno ou propriedade;Rede geral de distribuição.1;Outra forma.1;Não tinham;Código da Unidade Geográfica
Amazonas;Betânia-Crespo-São Lázaro-Vila Buriti;10716;10651;10279;9199;1080;373;295;78;65;1302603005020.0
Amazonas;Cachoeirinha-Praça 14 de Janeiro-Raiz;11315;11242;10999;10605;394;243;243;0;73;1302603005010.0
Amazonas;Centro-Nossa Senhora Aparecida;10987;10884;10396;9026;1370;488;488;0;103;1302603005011.0
Amazonas;Cidade de Deus;17534;15405;14095;8554;5541;1310;873;437;2129;1302603005006.0
Amazonas;Cidade Nova;31226;30744;30330;26017;4314;414;292;122;482;1302603005007.0
Amazonas;Colônia Oliveira Machado-Educandos-Santa Luzia, Morro da Liberdade;10868;10804;9959;9781;178;845;797;48;63;1302603005003.0
Amazonas;Colônia Santo Antônio-Novo Israel;8659;7969;7224;5120;2104;745;395;350;690;1302603005024.0
Amazonas;Colônia Terra Nova;11438;9329;7648;5292;2356;1681;1127;554;2109;1302603005025.0
Amazonas;Compensa;18582;18558;17535;17207;328;1023;1023;0;24;1302603005004.0
Amazonas;Coroado;13030;12783;12619;10787;1831;164;164;0;247;1302603005019.0
Amazonas;Distrito Industrial I-Distrito Industrial Ii-Puraquequara-Colônia Antônio Aleixo-Mauazinho;12544;10914;10264;5599;4665;649;64;586;1630;1302603005002.0
Amazonas;Dom Pedro I-São Geraldo-Chapada;10420;10307;9870;8454;1415;438;438;0;113;1302603005012.0
Amazonas;Flores;13504;12354;11544;4890;6654;810;502;308;1150;1302603005021.0
Amazonas;Gilberto Mestrinho;13631;10440;9433;5919;3514;1007;541;466;3191;1302603005032.0
Amazonas;Glória-Santo Antônio-São Raimundo-Presidente-Vargas;13917;13868;13659;13476;183;209;158;51;49;1302603005013.0
Amazonas;Japiim;13508;13467;13223;12836;387;244;171;73;41;1302603005018.0
Amazonas;Jorge Teixeira;27503;22516;19924;13133;6791;2592;1727;865;4987;1302603005029.0
Amazonas;Lago Azul-Santa Etelvina;8327;6531;5485;3864;1621;1046;735;311;1795;1302603005001.0
Amazonas;Lírio do Vale-Planalto-Ponta Negra;11195;11101;10573;9187;1386;528;338;190;94;1302603005015.0
Amazonas;Monte das Oliveiras;9964;8017;6898;3828;3069;1119;589;530;1947;1302603005023.0
Amazonas;Nova Cidade;15897;15503;15350;14172;1179;153;110;43;394;1302603005031.0
Amazonas;Nova Esperança-Santo Agostinho;8872;8831;8641;7961;680;190;161;29;41;1302603005014.0
Amazonas;Novo Aleixo;24045;22498;20972;15650;5323;1526;1039;487;1547;1302603005030.0
Amazonas;Parque 10 de Novembro;11869;11154;10554;6563;3990;600;182;418;714;1302603005022.0
Amazonas;Redenção-Da Paz;12665;12574;11797;10731;1066;777;696;81;91;1302603005016.0
Amazonas;São Francisco-Petrópolis;14769;14582;14324;13581;743;259;259;0;187;1302603005017.0
Amazonas;São Jorge-Vila da Prata;8630;8575;7390;7050;340;1185;1185;0;55;1302603005033.0
Amazonas;São José Operário;16338;15945;15178;13787;1391;767;597;169;392;1302603005027.0
Amazonas;Tancredo Neves;11590;9539;8621;6170;2451;918;696;222;2051;1302603005028.0
Amazonas;Tarumã-Tarumã-Açu-Manaus (demais Setores);13043;7512;6285;1373;4912;1227;272;955;5531;1302603005026.0
Amazonas;Manicoré;9496;4864;3342;2238;1104;1522;1070;452;4631;1302702.0
Amazonas;Área 001;4511;1905;1389;650;739;516;290;225;2606;1302702003001.0
Amazonas;Área 002;4985;2960;1953;1589;364;1007;780;227;2026;1302702003002.0
Amazonas;Parintins;20695;15753;13008;12453;555;2745;2479;266;4942;1303403.0
Amazonas;Área 001;4122;4116;3724;3709;15;392;392;0;7;1303403003001.0
Amazonas;Área 002;7893;7530;6450;6321;129;1080;1056;24;363;1303403003002.0
Amazonas;Área 003;8680;4108;2834;2423;411;1273;1031;242;4572;1303403003003.0
Amazonas;Tefé;12179;10513;8583;7374;1209;1930;1585;345;1666;1304203.0
Amazonas;Área 001;4179;3969;3350;2914;436;620;583;36;210;1304203003001.0
Amazonas;Área 002;8000;6544;5234;4460;774;1310;1001;309;1456;1304203003002.0
Roraima;Boa Vista;76224;75021;70455;69198;1256;4566;4026;540;1204;1400100.0
Roraima;Área 001;4565;4208;3621;3486;135;587;453;135;357;1400100005001.0
Roraima;Área 002;5892;5853;5468;5396;72;385;363;22;39;1400100005002.0
Roraima;Área 003;6932;6932;6544;6544;0;388;376;12;0;1400100005003.0
Roraima;Área 004;4930;4712;4024;3931;93;688;669;19;218;1400100005004.0
Roraima;Área 005;6038;6038;5987;5966;21;50;50;0;0;1400100005005.0
Roraima;Área 006;4536;4536;4484;4439;46;52;52;0;0;1400100005006.0
Roraima;Área 007;6466;6448;5593;5535;58;855;838;17;18;1400100005007.0
Roraima;Área 008;4517;4517;4337;4324;13;180;167;13;0;1400100005008.0
Roraima;Área 009;6055;6055;5995;5995;0;61;61;0;0;1400100005009.0
Roraima;Área 010;5488;5479;5323;5312;11;156;156;0;10;1400100005010.0
Roraima;Área 011;4189;4119;4028;4028;0;91;91;0;70;1400100005011.0
Roraima;Área 012;6794;6794;6392;6369;23;403;403;0;0;1400100005012.0
Roraima;Área 013;5155;5141;5012;4964;48;129;129;0;14;1400100005013.0
Roraima;Área 014;4667;4188;3648;2911;737;540;219;321;479;1400100005014.0
Pará;Abaetetuba;30928;19822;17689;6576;11113;2133;1246;887;11106;1500107.0
Pará;Área 001;4617;2327;2157;421;1736;171;13;157;2290;1500107003001.0
Pará;Área 002;4293;2699;2516;485;2030;184;114;69;1594;1500107003002.0
Pará;Área 003;5911;1677;1423;94;1329;254;0;254;4234;1500107003003.0
Pará;Área 004;8043;5757;5044;2398;2646;713;514;200;2286;1500107003004.0
Pará;Área 005;8064;7361;6550;3178;3371;812;605;207;703;1500107003005.0
Pará;Acará;11771;5155;3860;2738;1122;1295;973;322;6616;1500206.0
Pará;Área 001;4194;1341;1070;569;501;271;119;152;2853;1500206003001.0
Pará;Área 002;7577;3814;2790;2169;622;1024;854;170;3763;1500206003002.0
Pará;Alenquer;12112;5559;4378;2866;1512;1181;988;192;6553;1500404.0
Pará;Área 001;5067;3865;3071;2284;788;794;731;63;1202;1500404003001.0
Pará;Área 002;7045;1694;1307;583;725;387;257;129;5351;1500404003002.0
Pará;Altamira;26427;21306;18998;4415;14584;2308;598;1709;5121;1500602.0
Pará;Área 001;4261;3615;3433;1054;2380;182;35;147;646;1500602003001.0
Pará;Área 002;4319;2672;2289;66;2223;383;0;383;1647;1500602003002.0
Pará;Área 003;4455;3332;2701;677;2024;631;128;503;1123;1500602003003.0
Pará;Área 004;5033;4454;4129;689;3440;325;110;216;579;1500602003004.0
Pará;Área 005;8359;7234;6446;1929;4517;788;326;462;1125;1500602003005.0
Pará;Ananindeua;125853;106756;101851;45002;56849;4905;1167;3738;19098;1500800.0
Pará;Atalaia e Jaderlandia;10312;9897;9388;7234;2153;510;356;154;415;1500800005001.0
Pará;Aurá e Águas Brancas;8245;4696;4180;1182;2998;516;0;516;3549;1500800005002.0
Pará;Centro Júlia Seffer;9308;7869;7044;2117;4927;825;116;709;1439;1500800005003.0
Pará;Cidade Nova;13281;13062;12748;10410;2338;314;193;121;219;1500800005004.0
Pará;Coqueiro Norte;8606;8184;7670;2660;5010;515;14;500;422;1500800005005.0
Pará;Coqueiro Providência;8945;8489;8230;3746;4484;259;72;187;456;1500800005006.0
Pará;Guajará-Maguari;8637;7703;7546;3207;4339;157;26;131;935;1500800005007.0
Pará;Guanabara e Águas Lindas;9631;7707;7607;2643;4964;100;27;73;1924;1500800005008.0
Pará;Heliolandia e Geraldo Palmeira;10412;8399;8018;1426;6592;382;38;344;2013;1500800005009.0
Pará;Icuí;10655;8239;7833;1934;5899;406;16;390;2416;1500800005010.0
Pará;Jibóia Branca e 40 Horas;10665;8125;7852;1936;5917;273;70;203;2540;1500800005011.0
Pará;Paar;8947;8137;7802;4049;3753;335;154;181;811;1500800005012.0
Pará;Urbanização Restrita;8209;6247;5934;2457;3476;314;85;229;1962;1500800005013.0
Pará;Augusto Corrêa;8851;5254;4038;2832;1206;1216;1048;168;3597;1500909.0
Pará;Área 001;4266;2617;2133;1226;907;484;383;101;1649;1500909003001.0
Pará;Área 002;4585;2637;1905;1607;298;732;665;67;1948;1500909003002.0
Pará;Barcarena;24833;18075;16676;7376;9299;1399;509;890;6758;1501303.0
Pará;Área 001;7870;6645;6321;4103;2218;323;237;86;1225;1501303003001.0
Pará;Área 002;8248;6121;5669;2659;3010;452;142;309;2127;1501303003002.0
Pará;Área 003;8715;5310;4685;614;4071;625;130;495;3406;1501303003003.0
Pará;Belém;368889;349880;333470;266002;67469;16410;12618;3792;19009;1501402.0
Pará;Agulha;8731;7889;7634;5901;1734;254;146;109;843;1501402005040.0
Pará;Área Rural;7948;4970;4565;2934;1631;405;274;131;2977;1501402005027.0
Pará;Ariri;8736;8432;8097;5380;2717;335;162;173;304;1501402005034.0
Pará;Barreiro;8193;8031;7226;7020;206;805;785;20;162;1501402005005.0
Pará;Bengui;8849;8352;7913;4868;3045;439;217;222;497;1501402005029.0
Pará;Cabanagem;8306;8157;7989;6743;1245;169;119;50;149;1501402005031.0
Pará;Castanheira;8338;7337;6805;4237;2568;532;328;203;1002;1501402005026.0
Pará;Centro Histórico;8789;8771;8514;7377;1137;257;257;0;18;1501402005001.0
Pará;Condor;8613;8591;8101;8077;24;490;490;0;22;1501402005020.0
Pará;Coqueiro;8516;7976;7807;4198;3609;170;124;45;540;1501402005033.0
Pará;Cremação;8737;8683;8475;7902;573;207;207;0;54;1501402005017.0
Pará;Cruzeiro;9091;8201;7872;5961;1911;329;215;114;890;1501402005041.0
Pará;Guamá-01;8647;8647;8214;7911;303;433;379;54;0;1501402005021.0
Pará;Guamá-02;8355;8057;7695;7372;323;362;303;59;298;1501402005022.0
Pará;Guamá-03;8451;8317;7429;7342;87;888;888;0;134;1501402005023.0
Pará;Jabatiteua;8413;8306;7730;7202;528;575;535;40;107;1501402005025.0
Pará;Jurunas-01;8883;8815;8653;8510;143;162;162;0;68;1501402005018.0
Pará;Jurunas-02;8390;8340;8073;8003;71;267;267;0;50;1501402005019.0
Pará;Maracacuera;8364;7731;7435;5124;2311;296;182;114;633;1501402005039.0
Pará;Marambaia;9089;8959;8583;7347;1235;376;344;32;130;1501402005008.0
Pará;Marco-01;8043;8007;7814;6654;1160;193;136;57;36;1501402005013.0
Pará;Marco-02;8267;8267;7959;6684;1275;308;308;0;0;1501402005014.0
Pará;Mosqueiro-Exp;4351;3193;3063;1256;1807;130;68;62;1158;1501402005044.0
Pará;Mosqueiro-Urb;3924;3591;3294;2587;707;297;192;105;333;1501402005043.0
Pará;Nazaré;8865;8865;8704;5678;3026;161;56;105;0;1501402005015.0
Pará;Nova Marambaia;8778;8751;8751;7849;902;0;0;0;27;1501402005007.0
Pará;Outeiro;7875;7063;6509;4966;1544;553;244;309;813;1501402005042.0
Pará;Parque Guajará;8455;7724;7141;4956;2184;583;431;152;732;1501402005037.0
Pará;Parque Verde;8876;8557;8354;5661;2692;204;98;106;318;1501402005032.0
Pará;Pedreira-01;8878;8835;8115;7361;755;719;689;31;43;1501402005010.0
Pará;Pedreira-02;8917;8783;8456;6543;1913;327;310;16;134;1501402005011.0
Pará;Pedreira-03;8723;8698;8484;7733;752;214;191;23;25;1501402005012.0
Pará;Pratinha;8330;6564;6132;2782;3350;431;169;262;1766;1501402005028.0
Pará;Sacramenta;8403;8361;8106;7894;213;255;237;17;42;1501402005004.0
Pará;São Brás;8651;8651;8428;6767;1661;223;177;46;0;1501402005016.0
Pará;São Clemente;8795;8075;7802;4714;3088;273;136;137;720;1501402005030.0
Pará;Souza;8658;8544;8255;6919;1336;289;255;34;114;1501402005009.0
Pará;Tapanã-01;8413;7368;6986;3764;3223;381;41;340;1045;1501402005035.0
Pará;Tapanã-02;8524;6654;6383;2686;3697;271;141;130;1870;1501402005036.0
Pará;Telégrafo;8694;8648;8323;8141;182;324;324;0;46;1501402005003.0
Pará;Tenoné;8580;7879;7550;4173;3377;329;27;302;701;1501402005038.0
Pará;Terra Firme;8518;8442;7076;6738;338;1366;1345;21;76;1501402005024.0
Pará;Umarizal;9060;9029;8596;6975;1621;433;341;92;31;1501402005002.0
Pará;Val-de-Cães;8872;8773;8377;7111;1266;396;316;80;99;1501402005006.0
Pará;Benevides;13655;11939;11097;8702;2395;842;638;204;1717;1501501.0
Pará;Distrito 05 de Benevides;7553;6761;6538;5680;857;223;164;59;792;1501501002001.0
Pará;Distrito 10 de Benevides;6102;5178;4559;3022;1537;619;474;145;924;1501501002002.0
Pará;Bragança;26221;18507;16692;8585;8107;1815;885;930;7714;1501709.0
Pará;Área 001;4077;3425;2872;2050;822;553;348;204;652;1501709003001.0
Pará;Área 002;6502;3333;3126;1477;1649;207;91;116;3169;1501709003002.0
Pará;Área 003;6539;5394;4785;2115;2670;609;198;412;1145;1501709003003.0
Pará;Área 004;9103;6355;5909;2944;2966;446;248;198;2748;1501709003004.0
Pará;Breu Branco;12234;8108;6087;1788;4300;2020;837;1183;4126;1501782.0
Pará;Área 001;7731;5434;4412;1185;3227;1022;339;682;2297;1501782003001.0
Pará;Área 002;4503;2674;1675;602;1072;999;498;501;1829;1501782003002.0
Pará;Breves;17485;8247;6456;4538;1918;1790;1396;394;9239;1501808.0
Pará;Área 001;4251;3304;2711;2367;345;593;559;34;947;1501808003001.0
Pará;Área 002;6668;866;740;165;574;126;10;116;5802;1501808003002.0
Pará;Área 003;6566;4077;3005;2006;999;1072;828;244;2489;1501808003003.0
Pará;Cametá;23642;14238;13459;11174;2285;778;570;208;9404;1502103.0
Pará;Área 001;4295;2991;2809;2464;345;182;148;35;1304;1502103003001.0
Pará;Área 002;4122;1936;1874;1561;313;62;29;33;2186;1502103003002.0
Pará;Área 003;7137;6136;5813;5158;656;323;307;15;1001;1502103003003.0
Pará;Área 004;8088;3174;2963;1991;972;211;86;126;4914;1502103003004.0
Pará;Capanema;16881;12914;11355;2917;8438;1558;854;704;3968;1502202.0
Pará;Área 001;8172;6491;5730;1351;4379;761;305;456;1682;1502202003001.0
Pará;Área 002;8709;6423;5625;1566;4059;797;549;248;2286;1502202003002.0
Pará;Capitão Poço;12978;9734;8249;6623;1626;1485;1227;257;3244;1502301.0
Pará;Área 001;7122;5900;5515;4449;1066;385;312;73;1221;1502301003001.0
Pará;Área 002;5856;3834;2734;2175;560;1100;915;185;2022;1502301003002.0
Pará;Castanhal;45442;36500;32317;17463;14853;4183;2439;1744;8942;1502400.0
Pará;Área 001;5121;3920;3460;1612;1848;460;272;188;1201;1502400003001.0
Pará;Área 002;4390;3642;3177;1197;1980;466;301;164;748;1502400003002.0
Pará;Área 003;4348;3747;3622;3242;380;125;117;8;601;1502400003003.0
Pará;Área 004;4368;3519;2440;1528;912;1079;698;381;849;1502400003004.0
Pará;Área 005;4045;3006;2728;965;1763;278;239;39;1039;1502400003005.0
Pará;Área 006;4591;3737;3163;1349;1813;574;152;421;855;1502400003006.0
Pará;Área 007;8632;7952;7670;4611;3059;282;193;89;680;1502400003007.0
Pará;Área 008;9947;6976;6057;2959;3098;919;467;452;2970;1502400003008.0
Pará;Conceição do Araguaia;12856;10633;9498;4763;4734;1136;781;354;2222;1502707.0
Pará;Área 001;5841;3852;3443;1104;2339;409;158;250;1989;1502707003001.0
Pará;Área 002;7015;6782;6054;3659;2395;727;623;104;233;1502707003002.0
Pará;Dom Eliseu;12982;10901;6347;5897;450;4554;4216;338;2081;1502939.0
Pará;Área 001;4672;3629;1982;1601;381;1647;1461;186;1042;1502939003001.0
Pará;Área 002;8310;7271;4365;4295;69;2907;2755;152;1039;1502939003002.0
Pará;Igarapé-Açu;9138;7284;6153;5406;747;1131;1024;107;1854;1503200.0
Pará;Área 001;4417;3738;2991;2573;418;746;662;85;679;1503200003001.0
Pará;Área 002;4721;3546;3162;2833;329;385;363;22;1175;1503200003002.0
Pará;Igarapé-Miri;12014;5665;5075;1322;3753;590;445;145;6349;1503309.0
Pará;Distrito 05 de Igarapé-Miri;7498;4290;3808;1006;2802;482;348;133;3209;1503309002001.0
Pará;Distrito 10 de Igarapé-Miri;4516;1375;1267;316;951;108;97;11;3141;1503309002002.0
Pará;Ipixuna do Pará;11409;7334;5649;4981;668;1685;1502;184;4075;1503457.0
Pará;Área 001;4170;3438;2676;2321;355;763;695;67;732;1503457003001.0
Pará;Área 002;7239;3896;2973;2660;313;923;806;116;3343;1503457003002.0
Pará;Itaituba;23575;15342;13544;2503;11041;1798;404;1393;8233;1503606.0
Pará;Área 001;5046;2802;2430;165;2265;373;15;358;2244;1503606003001.0
Pará;Área 002;4928;4157;3969;796;3172;189;76;112;771;1503606003002.0
Pará;Área 003;4384;3110;2701;1315;1387;408;286;123;1275;1503606003003.0
Pará;Área 004;9216;5273;4444;227;4218;828;28;801;3943;1503606003004.0
Pará;Itupiranga;12564;4864;4125;304;3821;739;97;643;7700;1503705.0
Pará;Área 001;4929;1906;1661;227;1434;245;38;208;3023;1503705003001.0
Pará;Área 002;7635;2958;2464;77;2387;494;59;435;4677;1503705003002.0
Pará;Jacundá;12577;8124;6882;2608;4275;1242;528;713;4453;1503804.0
Pará;Área 001;4398;2525;2075;831;1244;450;234;217;1873;1503804003001.0
Pará;Área 002;8179;5598;4807;1777;3030;791;295;496;2580;1503804003002.0
Pará;Juruti;9259;6734;5000;4143;857;1734;921;813;2525;1503903.0
Pará;Área 001;5187;4230;3394;2944;450;836;696;139;957;1503903003001.0
Pará;Área 002;4072;2504;1606;1199;407;898;225;674;1568;1503903003002.0
Pará;Marabá;60480;44361;39319;19769;19550;5042;2927;2115;16119;1504208.0
Pará;Cidade Nova;21245;15373;14163;2630;11533;1210;98;1112;5872;1504208005002.0
Pará;Interior;8500;3931;2932;280;2652;1000;543;456;4568;1504208005004.0
Pará;Morada Nova;6150;3739;3009;772;2237;731;556;175;2411;1504208005003.0
Pará;Nova e Velha Maraba;24585;21317;19215;16087;3128;2102;1730;372;3268;1504208005001.0
Pará;Marituba;27300;22958;21917;10517;11400;1041;471;570;4342;1504422.0
Pará;Área 001;7851;6481;6091;2711;3380;390;182;207;1370;1504422003001.0
Pará;Área 002;9782;7411;7050;2143;4907;361;113;249;2370;1504422003002.0
Pará;Área 003;9667;9066;8776;5663;3113;290;176;114;601;1504422003003.0
Pará;Moju;15530;8207;6620;3911;2710;1587;1137;450;7323;1504703.0
